"","rk","g","date","age","team_code","location","opp","X.1","gs","mp","gmsc","player_gamelog_url","season_type","player_id","season","fg","fga","fg.","X3p","X3pa","X3p.","ft","fta","ft.","orb","drb","trb","ast","stl","blk","tov","pf","pts","home_away","ts.","efg.","orb.","drb.","trb.","ast.","stl.","blk.","tov.","usg.","ortg","drtg","net_rtg","true_shooting"
"1","1","1",2010-10-27,"20-178","IND","@","SAS","L (-13)","0","22:42","2.5","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"1","5",".200","0","3",".000","2","2","1.000",1,2,3,2,2,1,3,2,4,"-1",".340",".200","6.0","11.7","8.9","10.9","4.2","3.4","33.8",16.7,67,116,-49,34
"45","2","2",2010-10-29,"20-180","IND","@","CHA","W (+3)","0","21:27","6.4","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"3","6",".500","2","4",".500","0","0","",0,3,3,2,0,1,0,4,8,"-9",".667",".667","0.0","16.8","8.5","15.3","0.0","3.9","0.0",13.4,139,113,26,66.7
"83","3","3",2010-10-30,"20-181","IND","","PHI","W (+13)","0","20:18","5.6","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"3","6",".500","2","4",".500","0","0","",1,3,4,2,0,0,2,1,8,"-9",".667",".667","4.7","15.1","9.8","15.8","0.0","0.0","25.0",16,109,95,14,66.7
"117","4","4",2010-11-03,"20-185","IND","@","PHI","L (-26)","0","14:42","0.5","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"1","4",".250","0","2",".000","0","0","",0,2,2,1,1,0,1,1,2,"-16",".250",".250","0.0","14.8","6.5","13.2","3.5","0.0","20.0",14.9,48,105,-57,25
"151","5","5",2010-11-05,"20-187","IND","","MIL","L (-4)","0","14:15","5.8","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"4","9",".444","2","5",".400","0","0","",0,3,3,0,0,0,0,1,10,"-4",".556",".556","0.0","20.6","11.4","0.0","0.0","0.0","0.0",28.3,104,98,6,55.6
"185","6","6",2010-11-09,"20-191","IND","","DEN","W (+31)","0","12:59","4.9","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"1","4",".250","1","4",".250","1","2",".500",0,2,2,3,1,0,0,0,4,"+1",".410",".375","0.0","15.4","9.6","21.2","3.8","0.0","0.0",16.4,129,112,17,41
"208","7","7",2010-11-18,"20-200","IND","","LAC","W (+27)","0","16:19","1.1","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"1","4",".250","0","1",".000","1","1","1.000",1,1,2,3,0,0,1,4,3,"+3",".338",".250","8.4","5.4","6.6","24.5","0.0","0.0","18.4",16,95,96,-1,33.8
"222","8","8",2010-11-23,"20-205","IND","","CLE","W (+11)","0","9:11","-1.8","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"0","3",".000","0","2",".000","0","0","",0,1,1,0,0,0,0,0,0,"-15",".000",".000","0.0","11.1","5.7","0.0","0.0","0.0","0.0",15.3,0,102,-102,0
"226","9","9",2010-12-29,"20-241","IND","@","WAS","L (-14)","0","2:23","-0.4","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"0","0","","0","0","","0","0","",0,0,0,0,1,0,1,1,0,"-1","","","0.0","0.0","0.0","0.0","21.7","0.0","100.0",18.3,0,75,-75,NA
"5","10","10",2010-12-31,"20-243","IND","","WAS","W (+9)","0","18:15","15.4","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"5","8",".625","0","1",".000","3","3","1.000",1,6,7,1,5,0,1,3,13,"+7",".697",".625","7.1","33.6","21.9","10.6","13.7","0.0","9.7",24.9,135,60,75,69.7
"9","11","11",2011-01-02,"20-245","IND","@","NYK","L (-6)","0","9:24","4.1","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"2","4",".500","1","2",".500","0","0","",2,1,3,0,0,2,0,5,5,"-6",".625",".625","17.9","11.3","15.0","0.0","0.0","18.2","0.0",16.8,145,96,49,62.5
"13","12","12",2011-01-07,"20-250","IND","","SAS","L (-3)","0","9:59","-1.9","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"0","2",".000","0","1",".000","0","0","",0,1,1,0,0,0,0,2,0,"-8",".000",".000","0.0","11.2","5.5","0.0","0.0","0.0","0.0",8.9,0,104,-104,0
"17","13","13",2011-01-08,"20-251","IND","@","ATL","L (-15)","0","21:15","8.4","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"5","10",".500","0","3",".000","0","0","",1,5,6,0,2,0,0,2,10,"+4",".500",".500","5.3","25.7","15.6","0.0","4.7","0.0","0.0",20.9,107,102,5,50
"21","14","14",2011-01-11,"20-254","IND","@","PHI","W (+8)","0","3:40","3.0","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"1","1","1.000","0","0","","0","0","",0,1,1,0,1,0,0,0,2,"+2","1.000","1.000","0.0","36.4","17.2","0.0","14.1","0.0","0.0",12.3,200,81,119,100
"25","15","15",2011-01-12,"20-255","IND","","DAL","W (+13)","0","17:48","13.7","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"6","9",".667","4","6",".667","0","0","",0,4,4,0,2,0,0,4,16,"+9",".889",".889","0.0","24.0","12.4","0.0","6.3","0.0","0.0",24.3,168,91,77,88.9
"29","16","16",2011-01-14,"20-257","IND","","CHI","L (-13)","0","25:29","4.7","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"3","7",".429","1","1","1.000","1","2",".500",0,3,3,0,0,1,0,2,8,"-1",".508",".500","0.0","12.3","5.4","0.0","0.0","2.8","0.0",13.5,108,110,-2,50.8
"33","17","17",2011-01-17,"20-260","IND","@","LAC","L (-7)","0","11:14","4.9","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"3","5",".600","0","1",".000","0","0","",0,1,1,0,1,1,0,2,6,"-1",".600",".600","0.0","12.6","6.1","0.0","4.5","6.6","0.0",21,112,110,2,60
"37","18","18",2011-01-19,"20-262","IND","@","GSW","L (-2)","0","11:52","7.0","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"2","4",".500","0","1",".000","4","4","1.000",1,4,5,1,1,0,1,4,8,"+14",".694",".500","9.4","39.5","24.1","14.0","4.2","0.0","14.8",24.5,137,104,33,69.4
"41","19","19",2011-01-22,"20-265","IND","@","POR","L (-5)","0","7:24","5.6","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"3","5",".600","1","3",".333","0","0","",1,2,3,0,0,0,0,1,7,"0",".700",".700","16.6","30.9","24.0","0.0","0.0","0.0","0.0",31.8,141,107,34,70
"49","20","20",2011-01-23,"20-266","IND","@","DEN","L (-14)","0","26:31","13.5","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"7","10",".700","2","3",".667","1","2",".500",0,0,0,0,2,1,0,4,17,"-2",".781",".800","0.0","0.0","0.0","0.0","3.7","2.5","0.0",17.3,149,119,30,78.1
"53","21","21",2011-01-26,"20-269","IND","","ORL","L (-15)","0","32:32","6.8","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"3","9",".333","0","4",".000","4","4","1.000",0,7,7,2,2,0,2,4,10,"-4",".465",".333","0.0","25.2","11.9","9.7","3.1","0.0","15.7",17.7,87,111,-24,46.5
"57","22","22",2011-01-28,"20-271","IND","","NJN","W (+32)","0","24:02","14.4","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"6","7",".857","1","2",".500","2","4",".500",1,2,3,3,1,1,2,1,15,"+2",".856",".929","6.2","11.4","8.9","15.8","2.2","3.0","18.6",21.9,141,101,40,85.6
"61","23","23",2011-01-29,"20-272","IND","@","CHI","L (-21)","0","26:07","0.9","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"3","10",".300","0","3",".000","2","4",".500",0,3,3,0,0,0,1,1,8,"-24",".340",".300","0.0","13.1","6.5","0.0","0.0","0.0","7.8",22.6,66,125,-59,34
"65","24","24",2011-01-31,"20-274","IND","","TOR","W (+11)","0","24:34","14.3","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"4","8",".500","1","3",".333","7","8",".875",1,3,4,1,1,2,2,0,16,"+16",".694",".563","4.8","11.1","8.3","6.9","1.9","4.5","14.8",22.3,132,89,43,69.4
"68","25","25",2011-02-02,"20-276","IND","@","CLE","W (+5)","0","20:39","11.6","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"4","6",".667","3","4",".750","2","2","1.000",0,2,2,2,1,0,1,2,13,"+2",".945",".917","0.0","11.9","5.7","14.7","2.4","0.0","12.7",15.4,166,115,51,94.5
"71","26","26",2011-02-04,"20-278","IND","","POR","W (+13)","0","23:36","1.2","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"1","6",".167","0","3",".000","4","6",".667",0,4,4,0,0,0,1,1,6,"-7",".347",".167","0.0","15.6","8.4","0.0","0.0","0.0","10.4",17.5,73,93,-20,34.7
"74","27","27",2011-02-06,"20-280","IND","@","NJN","W (+19)","0","27:36","11.5","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"5","12",".417","0","2",".000","4","5",".800",3,3,6,1,2,0,1,1,14,"+17",".493",".417","13.0","11.1","12.0","5.7","3.9","0.0","6.6",24.5,116,93,23,49.3
"77","28","28",2011-02-08,"20-282","IND","@","MIA","L (-5)","0","22:17","3.5","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"3","10",".300","0","4",".000","2","2","1.000",1,2,3,0,1,0,1,0,8,"-14",".368",".300","5.8","12.0","8.9","0.0","2.3","0.0","8.4",23.7,82,125,-43,36.8
"80","29","29",2011-02-09,"20-283","IND","","CHA","W (+1)","0","16:49","3.8","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"3","7",".429","0","2",".000","1","1","1.000",2,1,3,2,0,0,1,4,7,"+3",".470",".429","13.9","7.0","10.4","18.8","0.0","0.0","11.8",22.6,107,119,-12,47
"87","30","30",2011-02-11,"20-285","IND","","MIN","W (+11)","0","28:27","12.1","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"5","10",".500","1","3",".333","0","0","",1,3,4,4,1,1,0,0,11,"0",".550",".550","4.6","9.9","7.7","20.7","1.8","2.3","0.0",15.1,139,110,29,55
"90","31","31",2011-02-12,"20-286","IND","@","MIL","W (+6)","0","24:19","6.3","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"3","6",".500","1","3",".333","4","8",".500",0,7,7,0,0,0,1,3,11,"+2",".578",".583","0.0","30.0","16.6","0.0","0.0","0.0","9.5",19.8,107,104,3,57.8
"93","32","32",2011-02-15,"20-289","IND","","MIA","L (-7)","0","31:27","12.4","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"4","7",".571","3","4",".750","3","3","1.000",0,5,5,2,1,0,1,3,14,"-2",".841",".786","0.0","17.3","8.0","10.2","1.5","0.0","10.7",13,151,111,40,84.1
"96","33","33",2011-02-16,"20-290","IND","@","DET","L (-6)","0","12:14","-3.2","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"0","3",".000","0","1",".000","0","0","",0,1,1,0,0,0,1,1,0,"-3",".000",".000","0.0","9.6","4.8","0.0","0.0","0.0","25.0",15.2,0,126,-126,0
"99","34","34",2011-02-22,"20-296","IND","@","WAS","W (+17)","0","25:18","8.0","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"5","11",".455","0","3",".000","1","1","1.000",2,7,9,2,1,2,3,4,11,"+3",".481",".455","7.3","27.7","17.1","13.3","1.8","4.6","20.8",22.5,89,84,5,48.1
"102","35","35",2011-02-23,"20-297","IND","","DET","W (+1)","0","21:54","5.1","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"5","11",".455","0","2",".000","0","0","",0,5,5,1,2,0,3,1,10,"+3",".455",".455","0.0","24.9","12.5","8.1","4.8","0.0","21.4",27.3,78,99,-21,45.5
"105","36","36",2011-02-25,"20-299","IND","","UTA","L (-11)","0","20:45","2.9","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"0","4",".000","0","1",".000","4","4","1.000",0,5,5,0,1,0,0,2,4,"-4",".347",".000","0.0","25.7","11.3","0.0","2.6","0.0","0.0",11.7,92,98,-6,34.7
"108","37","37",2011-02-27,"20-301","IND","","PHO","L (-2)","0","20:28","4.9","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"3","7",".429","1","4",".250","0","0","",1,2,3,3,0,0,1,2,7,"+3",".500",".500","5.8","9.8","7.9","24.9","0.0","0.0","12.5",18.2,110,114,-4,50
"111","38","38",2011-03-01,"20-303","IND","","GSW","W (+9)","0","16:52","8.2","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"6","12",".500","0","2",".000","0","0","",1,3,4,0,1,0,0,1,12,"+11",".500",".500","6.5","18.6","12.6","0.0","3.0","0.0","0.0",30.5,106,102,4,50
"114","39","39",2011-03-02,"20-304","IND","@","OKC","L (-24)","0","28:06","7.5","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"3","6",".500","0","2",".000","2","3",".667",0,3,3,3,2,1,2,2,8,"-10",".546",".500","0.0","12.2","5.8","22.4","3.4","2.9","21.5",13.7,93,109,-16,54.6
"121","40","40",2011-03-04,"20-306","IND","@","DAL","L (-8)","0","21:51","4.6","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"3","5",".600","1","1","1.000","1","1","1.000",0,1,1,0,1,0,2,1,8,"+1",".735",".700","0.0","5.6","3.1","0.0","2.3","0.0","26.9",15.2,100,124,-24,73.5
"124","41","41",2011-03-05,"20-307","IND","@","HOU","L (-17)","0","26:22","8.3","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"3","4",".750","0","0","","2","2","1.000",1,5,6,2,2,1,4,1,8,"-4",".820",".750","3.4","19.8","11.0","11.2","3.6","2.4","45.0",13.3,93,105,-12,82
"127","42","42",2011-03-08,"20-310","IND","","PHI","L (-10)","0","25:49","5.3","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"2","4",".500","0","0","","2","3",".667",1,9,10,0,2,1,4,1,6,"+2",".564",".500","5.3","39.8","24.1","0.0","3.8","2.4","42.9",16.6,69,103,-34,56.4
"130","43","43",2011-03-09,"20-311","IND","@","MIN","L (-26)","1","24:23","5.1","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"2","8",".250","0","2",".000","4","6",".667",1,3,4,0,3,1,1,4,8,"-8",".376",".250","3.5","10.7","7.0","0.0","5.7","2.7","8.6",20.3,75,92,-17,37.6
"133","44","44",2011-03-11,"20-313","IND","@","TOR","L (-10)","1","31:29","5.8","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"4","10",".400","1","3",".333","1","1","1.000",3,4,7,1,1,0,3,2,10,"-7",".479",".450","10.6","16.5","13.3","5.3","1.7","0.0","22.3",19.7,90,121,-31,47.9
"136","45","45",2011-03-13,"20-315","IND","@","NYK","W (+13)","1","12:44","3.8","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"3","4",".750","0","0","","0","0","",0,1,1,1,1,0,1,4,6,"+7",".750",".750","0.0","8.8","4.9","13.1","4.1","0.0","20.0",19.5,118,99,19,75
"139","46","46",2011-03-15,"20-317","IND","","NYK","W (+2)","1","27:31","5.0","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"2","5",".400","0","1",".000","1","2",".500",0,4,4,3,3,0,2,3,5,"+18",".425",".400","0.0","15.5","8.0","12.3","5.2","0.0","25.4",11.6,81,109,-28,42.5
"142","47","47",2011-03-16,"20-318","IND","@","BOS","L (-12)","1","33:03","11.0","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"6","13",".462","3","5",".600","0","0","",1,6,7,1,3,1,3,3,15,"+1",".577",".577","3.0","23.6","12.0","6.0","5.1","2.7","18.8",21.6,99,97,2,57.7
"145","48","48",2011-03-18,"20-320","IND","","CHI","W (+7)","1","27:00","6.3","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"2","6",".333","0","1",".000","2","2","1.000",0,7,7,2,2,0,1,2,6,"+16",".436",".333","0.0","27.5","14.3","10.9","4.0","0.0","12.7",13.1,96,100,-4,43.6
"148","49","49",2011-03-19,"20-321","IND","@","MEM","L (-21)","1","35:59","4.5","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"2","8",".250","0","5",".000","2","3",".667",0,5,5,2,0,4,2,0,6,"-25",".322",".250","0.0","16.7","8.3","11.4","0.0","7.0","17.7",14.5,63,106,-43,32.2
"155","50","50",2011-03-21,"20-323","IND","@","NJN","W (+4)","1","19:14","3.2","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"1","2",".500","0","0","","0","0","",0,2,2,1,1,1,0,2,2,"+9",".500",".500","0.0","9.1","5.7","7.7","2.7","3.5","0.0",4.8,117,102,15,50
"158","51","51",2011-03-23,"20-325","IND","@","CHA","W (+23)","1","23:12","4.3","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"3","5",".600","0","1",".000","2","2","1.000",0,3,3,1,1,0,2,5,8,"+3",".680",".600","0.0","17.7","9.5","6.3","2.3","0.0","25.4",16.6,104,98,6,68
"161","52","52",2011-03-25,"20-327","IND","","SAC","L (-17)","1","24:37","10.5","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"5","9",".556","1","3",".333","1","4",".250",4,4,8,1,0,1,1,1,12,"+1",".558",".611","13.7","15.6","14.6","8.8","0.0","2.3","8.5",19.2,114,112,2,55.8
"164","53","53",2011-03-26,"20-328","IND","@","DET","L (-12)","1","12:16","3.8","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"2","2","1.000","1","1","1.000","0","0","",0,1,1,1,2,0,2,4,5,"+2","1.250","1.250","0.0","10.3","4.8","13.9","8.7","0.0","50.0",15.1,88,97,-9,125
"167","54","54",2011-03-28,"20-330","IND","","BOS","W (+7)","1","14:27","-4.0","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"0","3",".000","0","1",".000","0","0","",1,1,2,1,0,0,2,4,0,"-12",".000",".000","9.8","10.7","10.2","7.9","0.0","0.0","40.0",16.5,29,116,-87,0
"170","55","55",2011-03-30,"20-332","IND","","DET","W (+10)","1","25:41","6.8","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"2","7",".286","0","3",".000","4","4","1.000",0,3,3,2,1,0,0,1,8,"+8",".457",".286","0.0","13.3","6.7","10.0","2.0","0.0","0.0",14.6,118,108,10,45.7
"173","56","56",2011-04-01,"20-334","IND","","MIL","W (+1)","1","23:29","3.1","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"3","7",".429","0","1",".000","0","0","",2,3,5,0,0,1,1,3,6,"+5",".429",".429","9.5","14.3","11.9","0.0","0.0","3.5","12.5",16.5,90,103,-13,42.9
"176","57","57",2011-04-03,"20-336","IND","@","NOH","L (-12)","1","23:46","1.9","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"1","5",".200","1","2",".500","0","0","",0,1,1,1,1,0,0,0,3,"-18",".300",".300","0.0","5.3","2.5","5.8","2.3","0.0","0.0",10,77,126,-49,30
"179","58","58",2011-04-06,"20-339","IND","","WAS","W (+24)","1","25:44","22.0","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"9","15",".600","5","6",".833","0","0","",1,5,6,4,2,1,1,2,23,"+27",".767",".767","5.8","20.7","14.5","22.5","3.5","2.4","6.3",25.8,144,101,43,76.7
"182","59","59",2011-04-08,"20-341","IND","","ATL","W (+12)","1","19:24","2.1","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"3","6",".500","1","2",".500","0","0","",0,1,1,0,0,0,1,3,7,"+3",".583",".583","0.0","5.8","2.9","0.0","0.0","0.0","14.3",15.5,102,115,-13,58.3
"189","60","60",2011-04-10,"20-343","IND","","NYK","L (-1)","1","18:52","3.7","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"3","4",".750","0","0","","0","0","",0,3,3,0,0,0,0,4,6,"+9",".750",".750","0.0","17.8","8.5","0.0","0.0","0.0","0.0",8.8,149,113,36,75
"192","61","61",2011-04-13,"20-346","IND","@","ORL","L (-18)","1","22:45","-3.9","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2011","RS","georgpa01",2011,"1","5",".200","0","1",".000","0","0","",0,2,2,0,0,0,3,1,2,"-7",".200",".200","0.0","11.1","4.7","0.0","0.0","0.0","37.5",15.1,25,100,-75,20
"2","1","1",2011-12-26,"21-238","IND","","DET","W (+12)","1","29:06","9.2","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"3","8",".375","2","3",".667","4","4","1.000",1,6,7,2,1,1,2,5,12,"+14",".615",".500","3.4","22.5","12.4","12.2","1.9","2.9","17.0",18,118,89,29,61.5
"46","2","2",2011-12-28,"21-240","IND","@","TOR","W (+5)","1","39:46","13.3","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"5","11",".455","4","7",".571","4","4","1.000",2,2,4,2,0,0,2,1,18,"+4",".705",".636","5.9","6.2","6.0","9.3","0.0","0.0","13.6",16.7,131,101,30,70.5
"84","3","3",2011-12-30,"21-242","IND","","CLE","W (+7)","1","27:26","0.6","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"0","4",".000","0","2",".000","2","2","1.000",0,5,5,2,1,1,2,3,2,"+13",".205",".000","0.0","18.6","8.9","10.7","1.8","3.1","29.1",10.7,45,85,-40,20.5
"118","4","4",2011-12-31,"21-243","IND","@","DET","L (-8)","1","34:01","9.8","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"2","5",".400","1","2",".500","2","3",".667",0,4,4,4,3,1,1,2,7,"+7",".554",".500","0.0","14.1","6.6","20.8","4.6","2.1","13.7",10.4,108,100,8,55.4
"152","5","5",2012-01-02,"21-245","IND","@","NJN","W (+14)","1","37:06","18.8","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"8","10",".800","5","5","1.000","0","0","",1,2,3,2,1,1,2,2,21,"+2","1.050","1.050","3.8","5.4","4.7","8.4","1.5","2.1","16.7",15.4,164,117,47,105
"186","6","6",2012-01-04,"21-247","IND","@","MIA","L (-35)","1","40:03","5.9","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"4","11",".364","3","5",".600","2","4",".500",1,3,4,3,1,1,4,4,13,"-30",".509",".500","2.7","10.6","6.1","18.7","1.2","2.0","23.9",18.4,84,123,-39,50.9
"209","7","7",2012-01-06,"21-249","IND","@","BOS","W (+13)","1","23:16","8.4","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"5","7",".714","2","2","1.000","0","0","",0,3,3,2,1,0,2,5,12,"-3",".857",".857","0.0","15.5","7.4","19.0","2.6","0.0","22.2",18.8,129,91,38,85.7
"223","8","8",2012-01-07,"21-250","IND","","CHA","W (+22)","1","23:33","5.0","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"2","5",".400","0","1",".000","2","3",".667",0,2,2,3,1,0,0,4,6,"+11",".475",".400","0.0","7.5","4.4","17.5","2.4","0.0","0.0",13,123,93,30,47.5
"227","9","9",2012-01-09,"21-252","IND","@","PHI","L (-10)","1","44:05","4.8","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"4","16",".250","3","8",".375","2","2","1.000",2,5,7,5,2,0,5,5,13,"-3",".385",".344","4.2","14.0","8.4","21.2","2.3","0.0","22.9",21.4,73,103,-30,38.5
"6","10","10",2012-01-11,"21-254","IND","","ATL","W (+12)","1","20:54","7.8","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"2","4",".500","0","1",".000","1","1","1.000",0,6,6,4,1,2,1,3,5,"+11",".563",".500","0.0","31.3","15.7","26.7","2.4","6.9","18.4",11.6,113,80,33,56.3
"10","11","11",2012-01-13,"21-256","IND","@","TOR","W (+5)","1","32:03","7.3","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"4","6",".667","1","1","1.000","1","2",".500",0,6,6,1,0,0,1,3,10,"+13",".727",".750","0.0","23.6","12.7","6.2","0.0","0.0","12.7",12,129,103,26,72.7
"14","12","12",2012-01-14,"21-257","IND","","BOS","W (+14)","1","26:01","14.0","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"5","11",".455","1","3",".333","6","6","1.000",1,7,8,1,2,0,2,2,17,"+13",".623",".500","3.7","27.5","15.2","7.2","4.0","0.0","12.8",24.4,126,83,43,62.3
"18","13","13",2012-01-18,"21-261","IND","@","SAC","L (-4)","1","34:25","5.5","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"5","12",".417","0","4",".000","0","0","",0,9,9,1,2,1,3,3,10,"-9",".417",".417","0.0","19.3","11.8","5.2","3.2","2.2","20.0",19.4,79,92,-13,41.7
"22","14","14",2012-01-20,"21-263","IND","@","GSW","W (+3)","1","21:20","2.2","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"2","8",".250","0","1",".000","3","4",".750",0,5,5,1,0,0,1,2,7,"+4",".359",".250","0.0","27.4","12.8","7.4","0.0","0.0","9.3",23.5,73,102,-29,35.9
"26","15","15",2012-01-22,"21-265","IND","@","LAL","W (+2)","1","33:25","11.1","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"5","8",".625","2","4",".500","1","2",".500",0,5,5,2,2,0,2,2,13,"+9",".732",".750","0.0","12.8","7.7","10.0","3.3","0.0","18.4",15.6,120,104,16,73.2
"30","16","16",2012-01-24,"21-267","IND","","ORL","L (-19)","1","34:44","1.7","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"3","8",".375","1","5",".200","0","0","",0,6,6,0,1,1,4,1,7,"-6",".438",".438","0.0","19.3","10.1","0.0","1.6","2.7","33.3",15.8,61,111,-50,43.8
